Airport	Sentiment
Haßfurt-Schweinfurt Airport	5.861028400210902
Finsterwalde/Schacksdorf Airport	5.861650622433123
Kaédi Airport	5.862953232323232
Nouakchott International Airport	5.862953232323232
Koblenz-Winningen Airport	5.864628400210901
Trier-Föhren Airport	5.864628400210901
Speyer Airport	5.864628400210901
Zweibrücken Airport	5.864628400210901
Donaueschingen-Villingen Airport	5.864628400210901
Freiburg i. Br. Airport	5.864628400210901
Mengen-Hohentengen Airport	5.864628400210901
Adolf Würth Airport	5.864628400210901
Biberach a.d. Riß Airport	5.864783638306139
Eggenfelden Airport	5.864783638306139
Straubing Airport	5.8648034002109
Vilshofen Airport	5.8648034002109
Islay Airport	5.865582455599955
Glasgow Prestwick Airport	5.865582455599955
Ziguinchor Airport	5.865742041847043
Cap Skirring Airport	5.865742041847043
Kaolack Airport	5.865742041847043
Léopold Sédar Senghor International Airport	5.865742041847043
Saint Louis Airport	5.865742041847043
Frankfurt-Hahn Airport	5.8663084992784995
Mönchengladbach Airport	5.866761416083915
Paderborn Lippstadt Airport	5.866761416083915
Stadtlohn-Vreden Airport	5.866761416083915
Dortmund Airport	5.866761416083915
Augsburg Airport	5.866761416083915
Nuremberg Airport	5.867085642135642
Mindelheim-Mattsies Airport	5.867778638306138
Oberpfaffenhofen Airport	5.867778638306138
Cologne Bonn Airport	5.867935642135642
Virginia Airport	5.87075047008547
Arnsberg-Menden Airport	5.870904273226773
Essen Mulheim Airport	5.870904273226773
Bielefeld Airport	5.870904273226773
Gafsa Ksar International Airport	5.872780721500721
Saint Hubert Air Base	5.87343730880231
Ursel Air Base	5.87343730880231
Weelde Air Base	5.87343730880231
Oostmalle Air Base	5.87343730880231
Bautzen Airport	5.87343730880231
Bakel Airport	5.87362870851371
Kédougou Airport	5.87362870851371
Jyvaskyla Airport	5.874481722721723
Kauhava Airport	5.874481722721723
Kemi-Tornio Airport	5.874481722721723
Kajaani Airport	5.874481722721723
Kauhajoki Airport	5.874481722721723
Chièvres Air Base	5.874937308802309
Koksijde Air Base	5.874937308802309
Florennes Air Base	5.874937308802309
Liège Airport	5.874937308802309
Ostend-Bruges International Airport	5.874937308802309
Zutendaal Air Base	5.874937308802309
Limburg Regional Airport	5.874937308802309
Flugplatz Dahlemer Binz	5.8749770004995
Meinerzhagen Airport	5.8749770004995
Altenburg-Nobitz Airport	5.876912308802308
Dessau Airport	5.876912308802308
Eisenhüttenstadt Airport	5.876912308802308
Großenhain Airport	5.876912308802308
Merseburg Airport	5.876912308802308
Halle-Oppin Airport	5.876912308802308
Riesa-Göhlis Airport	5.876912308802308
Rechlin-Lärz Airport	5.876912308802308
Strausberg Airport	5.876912308802308
Schönhagen Airport	5.876912308802308
Barth Airport	5.876912308802308
Jena-Schöngleina Airport	5.876912308802308
Kyritz Airport	5.876912308802308
"Magdeburg \City\"" Airport"""	5.876912308802308
Rothenburg/Görlitz Airport	5.876912308802308
Cottbus-Drewitz Airport	5.876912308802308
Emden Airport	5.877762328782328
Leer-Papenburg Airport	5.877762328782328
El Golea Airport	5.878402546897546
Mohammed V International Airport	5.878404581529582
Menara Airport	5.878404581529582
Beauvechain Air Base	5.879266197691198
Kleine Brogel Air Base	5.879266197691198
Brussels Airport	5.879266197691198
Jehonville Air Base	5.879266197691198
Brussels South Charleroi Airport	5.879266197691198
Saarbrücken Airport	5.8796084992785
Stuttgart Airport	5.8796084992785
Berlin-Tegel International Airport	5.8796084992785
Hannover Airport	5.8796084992785
Bremen Airport	5.8796084992785
Frankfurt-Egelsbach Airport	5.8796084992785
Kamenz Airport	5.880312308802308
Berlin-Schönefeld International Airport	5.880312308802308
Tiree Airport	5.880385788933288
RAF Leuchars	5.880385788933288
Bremerhaven Airport	5.880390900210901
Vereeniging Airport	5.880646898656899
Erfurt Airport	5.88124564213564
Frankfurt am Main International Airport	5.88124564213564
Münster Osnabrück Airport	5.88124564213564
Hamburg Airport	5.88124564213564
Niamtougou International Airport	5.881346197691198
Lomé-Tokoin Airport	5.881346197691198
Antwerp International Airport (Deurne)	5.881346197691198
